epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,5468.39,0.91313,1.66349,0.13628,0.59813,0.9963,0.90597,0.97279,0.97618,0.69539,0.89985,0.96672,0.96565,0.68214,1.03709,1.05239,0.01248,0.48149,1.12606,0.004654,0.004654,0.004654
56,5561.78,0.9071,1.67133,0.13803,0.59165,0.99477,0.94485,0.92027,0.97885,0.70864,0.94477,0.9202,0.97303,0.69146,1.02847,1.04341,0.01165,0.47446,1.12245,0.004555,0.004555,0.004555
57,5657.54,0.90719,1.67763,0.14147,0.60669,0.99523,0.8993,0.98049,0.97942,0.70558,0.89642,0.97729,0.97411,0.68784,1.02662,1.03904,0.01178,0.47397,1.12414,0.004456,0.004456,0.004456
58,5753.79,0.90325,1.65728,0.13705,0.59606,0.99342,0.90442,0.97234,0.97968,0.70334,0.90164,0.96947,0.97304,0.6798,1.02974,1.04512,0.01166,0.46851,1.12602,0.004357,0.004357,0.004357
59,5847.4,0.9047,1.64974,0.13567,0.58993,0.99505,0.93149,0.94508,0.97836,0.70112,0.92957,0.94317,0.97273,0.67832,1.02267,1.03886,0.01145,0.4694,1.12198,0.004258,0.004258,0.004258
60,5943.13,0.89332,1.6315,0.13565,0.58721,0.99054,0.90701,0.97639,0.97814,0.69664,0.90559,0.96749,0.97223,0.69258,1.02916,1.03166,0.01135,0.47092,1.1234,0.004159,0.004159,0.004159
61,6036.02,0.89268,1.60188,0.13548,0.58268,0.98897,0.9538,0.92049,0.97759,0.7017,0.95188,0.92128,0.97194,0.68515,1.03152,1.02546,0.01125,0.46965,1.1249,0.00406,0.00406,0.00406
62,6132.46,0.89147,1.62292,0.13331,0.58377,0.98429,0.91006,0.98229,0.9787,0.70684,0.90683,0.97902,0.9748,0.69292,1.03025,1.00029,0.01121,0.46515,1.12567,0.003961,0.003961,0.003961
63,6226.27,0.87735,1.57076,0.13369,0.57613,0.98368,0.90574,0.98213,0.97827,0.70738,0.89663,0.97236,0.96696,0.70305,1.0348,1.01445,0.01106,0.46653,1.12881,0.003862,0.003862,0.003862
64,6323.37,0.87663,1.58225,0.13485,0.56924,0.98386,0.96175,0.92068,0.97836,0.70501,0.95903,0.92029,0.97329,0.70778,1.03771,1.01165,0.01102,0.46723,1.12982,0.003763,0.003763,0.003763
65,6419.5,0.87096,1.5388,0.13159,0.56593,0.98075,0.90685,0.97517,0.97917,0.71404,0.95017,0.92193,0.97294,0.70717,1.02975,1.00651,0.01078,0.46606,1.12792,0.003664,0.003664,0.003664
66,6513.2,0.87629,1.54827,0.13192,0.57136,0.98133,0.91003,0.97683,0.97917,0.71125,0.90702,0.97378,0.97364,0.70822,1.02825,1.00112,0.01057,0.46748,1.12624,0.003565,0.003565,0.003565
67,6610.1,0.86019,1.53478,0.13275,0.5661,0.97478,0.90136,0.97472,0.97791,0.70365,0.95237,0.91624,0.97174,0.70755,1.03181,0.9954,0.01062,0.47104,1.12962,0.003466,0.003466,0.003466
68,6705.13,0.86324,1.53687,0.13588,0.56523,0.97605,0.90319,0.97475,0.97734,0.70587,0.90033,0.97119,0.97152,0.70581,1.02913,0.9928,0.01045,0.47258,1.12878,0.003367,0.003367,0.003367
69,6802.74,0.85129,1.51148,0.13067,0.55493,0.97233,0.90844,0.97712,0.97706,0.70963,0.90564,0.97349,0.97176,0.71057,1.02545,0.98614,0.01016,0.47212,1.12833,0.003268,0.003268,0.003268
70,6900.05,0.85753,1.52213,0.13765,0.55929,0.97798,0.90559,0.97943,0.97709,0.71352,0.90279,0.97603,0.97177,0.71129,1.03175,0.98619,0.01032,0.47407,1.13064,0.003169,0.003169,0.003169
71,6995.8,0.85752,1.49619,0.13318,0.55493,0.97608,0.93766,0.94182,0.97803,0.70621,0.93553,0.93879,0.97297,0.71273,1.03279,0.98169,0.0102,0.47089,1.13087,0.00307,0.00307,0.00307
72,7094.02,0.84722,1.46798,0.13185,0.54279,0.97532,0.93783,0.94147,0.97859,0.71004,0.9357,0.93785,0.97356,0.71063,1.03449,0.97369,0.01003,0.46782,1.13143,0.002971,0.002971,0.002971
73,7189.8,0.84335,1.4727,0.13174,0.5414,0.97105,0.94384,0.9371,0.97853,0.70992,0.94178,0.93377,0.97385,0.7149,1.03369,0.96756,0.00985,0.46669,1.13061,0.002872,0.002872,0.002872
74,7288.26,0.83653,1.44026,0.12609,0.54177,0.9665,0.90527,0.97806,0.97848,0.69599,0.94038,0.93001,0.97366,0.71544,1.03074,0.96418,0.00986,0.46674,1.1293,0.002773,0.002773,0.002773
75,7386.14,0.82508,1.4315,0.12892,0.53403,0.96948,0.94308,0.93108,0.97849,0.69639,0.94123,0.9281,0.97349,0.71993,1.03032,0.96472,0.00981,0.46901,1.13111,0.002674,0.002674,0.002674
76,7481.93,0.82799,1.41714,0.13076,0.54269,0.96831,0.90585,0.97575,0.97763,0.69866,0.90266,0.97247,0.97254,0.71998,1.0299,0.96265,0.00977,0.46629,1.13111,0.002575,0.002575,0.002575
77,7581.95,0.81822,1.42522,0.12924,0.52694,0.96533,0.90849,0.98,0.97812,0.69703,0.90544,0.97663,0.97314,0.72404,1.03199,0.95959,0.00976,0.46861,1.13413,0.002476,0.002476,0.002476
78,7677.63,0.82254,1.4072,0.12939,0.5327,0.96217,0.90855,0.97912,0.97901,0.69654,0.90555,0.97581,0.97411,0.73244,1.03128,0.95593,0.00969,0.46606,1.13552,0.002377,0.002377,0.002377
79,7777.32,0.8172,1.38494,0.12907,0.52842,0.96379,0.90743,0.97811,0.97924,0.6952,0.90449,0.97484,0.97446,0.73194,1.03248,0.95406,0.00968,0.46552,1.13695,0.002278,0.002278,0.002278
80,7874.54,0.81605,1.38887,0.13045,0.52665,0.95855,0.90578,0.97661,0.97873,0.69805,0.90263,0.97337,0.9741,0.72194,1.03214,0.95257,0.00955,0.46505,1.13788,0.002179,0.002179,0.002179
81,7979,0.80825,1.39161,0.12841,0.52455,0.96093,0.90603,0.9784,0.97908,0.70162,0.90299,0.97503,0.97455,0.72098,1.03305,0.95042,0.00938,0.46192,1.1382,0.00208,0.00208,0.00208
82,8075.96,0.8027,1.3347,0.12223,0.51655,0.95797,0.90716,0.97821,0.979,0.69835,0.90395,0.97494,0.97454,0.72103,1.03204,0.94999,0.00941,0.46173,1.1376,0.001981,0.001981,0.001981
83,8178.43,0.79555,1.34701,0.12667,0.51389,0.95509,0.90617,0.97852,0.9789,0.69605,0.90309,0.97513,0.97444,0.72458,1.03329,0.94717,0.00926,0.45987,1.13896,0.001882,0.001882,0.001882
84,8278.97,0.7936,1.33277,0.1266,0.5128,0.95714,0.90669,0.97827,0.9788,0.69447,0.90347,0.97498,0.97431,0.72253,1.03464,0.94615,0.00917,0.45981,1.14065,0.001783,0.001783,0.001783
85,8377.11,0.78519,1.3167,0.12703,0.50506,0.95071,0.93505,0.95974,0.9822,0.69532,0.93215,0.9568,0.97773,0.72643,1.0361,0.94444,0.00911,0.46055,1.14066,0.001684,0.001684,0.001684
86,8479.4,0.79343,1.3217,0.12518,0.50904,0.95485,0.93492,0.96101,0.98206,0.697,0.93212,0.95787,0.97756,0.72638,1.0372,0.94303,0.00901,0.46153,1.14126,0.001585,0.001585,0.001585
87,8577.44,0.78232,1.30414,0.12604,0.50092,0.94669,0.93491,0.9618,0.98204,0.70048,0.93209,0.95864,0.97761,0.7263,1.03766,0.94072,0.00891,0.4609,1.14232,0.001486,0.001486,0.001486
88,8681.88,0.76912,1.27582,0.12235,0.49484,0.94223,0.93456,0.96247,0.9821,0.69903,0.93268,0.95797,0.97765,0.72876,1.03917,0.94031,0.0089,0.46206,1.14403,0.001387,0.001387,0.001387
89,8784.66,0.77436,1.29827,0.12701,0.50083,0.94912,0.93505,0.96288,0.98134,0.69808,0.93222,0.95973,0.9768,0.72884,1.03884,0.93937,0.00881,0.46263,1.14448,0.001288,0.001288,0.001288
90,8882.14,0.7719,1.25871,0.1237,0.49979,0.94562,0.93502,0.96274,0.98136,0.69805,0.93231,0.95942,0.97692,0.72973,1.03842,0.93769,0.00865,0.46175,1.145,0.001189,0.001189,0.001189
91,8974.34,0.7351,1.10928,0.09358,0.45734,0.95775,0.93451,0.96109,0.98133,0.69824,0.93182,0.95779,0.97682,0.73307,1.03858,0.93685,0.00865,0.46196,1.14509,0.00109,0.00109,0.00109
92,9063.55,0.72328,1.08102,0.08879,0.44045,0.94802,0.93499,0.95986,0.98139,0.69799,0.93306,0.95564,0.97682,0.73409,1.03848,0.93596,0.00858,0.46183,1.14548,0.000991,0.000991,0.000991
93,9152.24,0.71044,1.04261,0.08726,0.43336,0.94898,0.935,0.95917,0.98133,0.69751,0.93334,0.95465,0.97677,0.73407,1.04007,0.93484,0.00851,0.46216,1.14674,0.000892,0.000892,0.000892
94,9241.12,0.70039,1.03701,0.0861,0.42583,0.94096,0.94021,0.95259,0.98158,0.69704,0.93807,0.94901,0.97704,0.73351,1.03951,0.93407,0.00848,0.46156,1.14726,0.000793,0.000793,0.000793
95,9329.7,0.69651,1.01112,0.08599,0.42407,0.93788,0.94003,0.95284,0.98166,0.69675,0.93775,0.94941,0.977,0.73472,1.04067,0.93241,0.00848,0.46246,1.14832,0.000694,0.000694,0.000694
96,9418.28,0.69156,1.0015,0.08498,0.42265,0.93903,0.94034,0.95235,0.98164,0.69582,0.93821,0.94879,0.97699,0.73336,1.03984,0.93078,0.00847,0.46194,1.14801,0.000595,0.000595,0.000595
97,9507.09,0.67993,0.99142,0.08394,0.4153,0.93411,0.94042,0.95236,0.9818,0.69661,0.93804,0.9491,0.97717,0.73143,1.04075,0.93033,0.00846,0.46162,1.14824,0.000496,0.000496,0.000496
98,9595.43,0.67372,0.95698,0.08113,0.40854,0.9314,0.94016,0.95232,0.98176,0.6965,0.93792,0.94891,0.97717,0.73236,1.04167,0.9295,0.00841,0.46161,1.14896,0.000397,0.000397,0.000397
99,9683.55,0.67847,0.95793,0.08294,0.41121,0.93382,0.9401,0.95224,0.9818,0.69434,0.93786,0.94884,0.9772,0.73512,1.04177,0.92856,0.0084,0.46152,1.14972,0.000298,0.000298,0.000298
100,9771,0.66977,0.94195,0.08312,0.41047,0.93211,0.93997,0.95203,0.98185,0.69438,0.93774,0.94864,0.97724,0.73359,1.04163,0.9276,0.00835,0.46163,1.15031,0.000199,0.000199,0.000199
